date,simplemean,meanweighted,sqrtariff
2024-01-01,0.2634211324146873,0.26342113241468723,1.5008784740985976
2024-02-01,0.2479584034734692,0.24323453132817577,1.4899088146496784
2024-03-01,0.2618969807450967,0.24522557367729234,1.4926647735848246
2024-04-01,0.2534723422156888,0.2467161951584222,1.4904228738553449
2024-05-01,0.24892665401043337,0.24748816769912663,1.4846699933520724
2024-06-01,0.23917463023809474,0.24151934941409212,1.4198283079673149
2024-07-01,0.2596925699859771,0.23684610263824996,1.4990314982978152
2024-08-01,0.26002545762117696,0.24627235002236625,1.5180154374096622
2024-09-01,0.22454773278900486,0.22930971597274905,1.5142725271664041
2024-10-01,0.23970033081225853,0.22637352075238604,1.4587746428676769
2024-11-01,0.2371690810081297,0.2301911988282705,1.4494732365776168
2024-12-01,0.22146270685426936,0.23142643242178665,1.535390836108801
2025-01-01,0.27832550546900137,0.29665907020671567,1.5408662823565353
2025-02-01,0.26949537045313704,0.27900189345558984,1.5449023127744776
2025-03-01,3.837288014381774,3.587871412890441,5.991261359491587
2025-04-01,4.166098466446468,4.952425066717038,8.37305711165926
2025-05-01,4.3964308309090905,4.9250816934268435,9.296805237135457
2025-06-01,4.079485909464296,4.603562449024438,9.126955652851269
2025-07-01,4.743485817774619,5.60522109984944,10.461993633020814
2025-08-01,4.691644355523004,5.563160293512321,10.189231938656308
2025-09-01,4.7096879526618505,5.569973994329424,10.287321244721708
2025-10-01,4.585339213465935,5.509334341538089,10.202661402030241
2025-11-01,4.1679310789470065,5.362880285219488,9.561859346582201
2025-12-01,4.393930264605215,5.205121533080133,9.318249672460857
2026-01-01,4.0071097873767645,5.4581366337776664,9.483270593121421
