date,simplemean,meanweighted,sqrtariff
2024-01-01,0.10224131731703337,0.10224131731703337,0.41567827189171724
2024-02-01,0.09502216448799058,0.08984013721699341,0.38928663220370907
2024-03-01,0.11204326789897325,0.09822759542461373,0.39091125507239083
2024-04-01,0.10038845286863211,0.08831046158239463,0.37432949345939515
2024-05-01,0.11193675578473952,0.108567715717109,0.40390857143197095
2024-06-01,0.10556429183750059,0.09972419680210685,0.43234295008958223
2024-07-01,0.10175594454477759,0.09160379118903694,0.4397304840494806
2024-08-01,0.0922236798517887,0.0848259845774969,0.38556973343818846
2024-09-01,0.09120126622235282,0.08541997747319688,0.3873269323295199
2024-10-01,0.1036942954871606,0.08955806171716686,0.4298927420906122
2024-11-01,0.094872108199317,0.08932729653771992,0.4145080456348883
2024-12-01,0.09897767903252347,0.09089736665332725,0.44661015234608337
2025-01-01,0.10394584978021926,0.11461236644687867,0.44276429400695444
2025-02-01,0.10341369904655634,0.10135926272346149,0.39921442691761583
2025-03-01,1.8665017517418492,1.8552805176404452,3.7143408794157065
2025-04-01,2.292126584526609,2.541614732299148,6.6936467265894555
2025-05-01,1.8949775103507815,2.226872488135858,6.429115192608377
2025-06-01,2.4123383990631595,3.0812542882005363,10.002028145919459
2025-07-01,3.011679727911431,4.581821848586256,11.867451054318021
2025-08-01,3.874975451050645,4.812149412504565,12.057000137748176
2025-09-01,4.031764709978088,5.003455057405371,12.427706555805337
2025-10-01,3.9334189599145706,4.844485429770436,12.185175157118406
2025-11-01,3.667306540729519,4.645771587104546,12.070214054273269
2025-12-01,3.205357818988628,4.468393811533254,11.681512047933882
2026-01-01,2.9414439471774285,4.48221598822102,11.635218623372294
2026-02-01,3.1235661224471616,4.091230868690012,11.105170860437779
